descriptio,gx_media_l,name,DPTO,NOMBRE_DPT,AREA,PERIMETER,HECTARES
"<img src=""https://lh4.googleusercontent.com/xcU_SsFKqMIJk4B7lbQopi8PmixKGobCNiE0-YxiHlrUccZVLGBp8cN6QrdgyWPHa0vaDJxw7qVGN9QF7qIK1pWrSPZ8mpRcAaXYJSEOGt4ongFwOfL-nT_fpd5nVkB7"" height=""200"" width=""auto"" /><br><br>Direcci?n: Carrera Restrepo Uribe ?15 # 14 ?",https://lh4.googleusercontent.com/xcU_SsFKqMIJk4B7lbQopi8PmixKGobCNiE0-YxiHlrUccZVLGBp8cN6QrdgyWPHa0vaDJxw7qVGN9QF7qIK1pWrSPZ8mpRcAaXYJSEOGt4ongFwOfL-nT_fpd5nVkB7,518 EPMSC Santo Domingo,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh6.googleusercontent.com/CxgEulNzKwuIMegkzNn1r4Gtml1Le2tjBTGMCSGDxpkFhV_3dLYsbeAGxm6x4NhHLhrXvMYkqDAkeFkJSqvLx8fr1MqPDjduGRJB7XeVKTfg1dD9UsIKhE7awtCiYow"" height=""200"" width=""auto"" /><br><br>Direcci?n: Calle 27 #34 A 15 Santa Rosa de Os",https://lh6.googleusercontent.com/CxgEulNzKwuIMegkzNn1r4Gtml1Le2tjBTGMCSGDxpkFhV_3dLYsbeAGxm6x4NhHLhrXvMYkqDAkeFkJSqvLx8fr1MqPDjduGRJB7XeVKTfg1dD9UsIKhE7awtCiYow https://lh3.googleusercontent.com/IOFKqJHbzc_3sS6q6AKi8AV8liyaNSLjyeTBZE9em68awVkART7yIqKXef,519 EPMSC Santa Rosa De Osos,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh4.googleusercontent.com/bhDolLHCPlWBmmyJ_gF1MjIN76-dAD8y0kVOx5ulYg6R_NCQNW6F6YHDolQGTEDwfpNr-8Wt4g0X9Xpt_H8ONWNwDTqzlwuclGbA2h_k4eo7BQ2PLfCfZD7X0_EkiF1T"" height=""200"" width=""auto"" /><br><br>Direcci?n: Carrera 7 #12-14 Sonson Antioquia",https://lh4.googleusercontent.com/bhDolLHCPlWBmmyJ_gF1MjIN76-dAD8y0kVOx5ulYg6R_NCQNW6F6YHDolQGTEDwfpNr-8Wt4g0X9Xpt_H8ONWNwDTqzlwuclGbA2h_k4eo7BQ2PLfCfZD7X0_EkiF1T,521 EPMSC Sonson,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh3.googleusercontent.com/gEKmMyjQuYMv9dh876W7x-hcHgNaXocbyj6Qv2cn3amtJObxatLxKESkr4sTSsx6HWupV1PAYotxsvc64KSmo8YEiIXqbQDWEwA84FLLvQ3eWA7fdfQO7IWOZzbh6fD7"" height=""200"" width=""auto"" /><br><br>Direcci?n: Carrera 10 #9-40 Tamesis Antioqui",https://lh3.googleusercontent.com/gEKmMyjQuYMv9dh876W7x-hcHgNaXocbyj6Qv2cn3amtJObxatLxKESkr4sTSsx6HWupV1PAYotxsvc64KSmo8YEiIXqbQDWEwA84FLLvQ3eWA7fdfQO7IWOZzbh6fD7,523 EPMSC Tamesis,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh5.googleusercontent.com/ORjpEgTpWJTLHH4zSJtzTmt3yLnhkhew1ALjhUm4_frMVZo00lplvHkwXjSUPHqBUw7x4IS9eH3poKSYU43bTwhhQoGgJGd_T31sTom4Lw2gb4llT-ZUpRNPARyQiHY"" height=""200"" width=""auto"" /><br><br>Direcci?n: Carrera 20 Bolivar # 20 - 14 Titir",https://lh5.googleusercontent.com/ORjpEgTpWJTLHH4zSJtzTmt3yLnhkhew1ALjhUm4_frMVZo00lplvHkwXjSUPHqBUw7x4IS9eH3poKSYU43bTwhhQoGgJGd_T31sTom4Lw2gb4llT-ZUpRNPARyQiHY,524 EPMSC Titiribi,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh4.googleusercontent.com/idWslBepSu8ofpuBFJecOBj3VIPLH1MKGEWsOuhloeBIWCBRySJhNynlpY6JA_Ju8EVS3D623uGiJ6xGCCyLyrnfIbwJ-81t_15PnhbFrp4A_UXDtdnRJTHzWKmB2f5b"" height=""200"" width=""auto"" /><br><br>Direcci?n: Carrera 21 #20 - 03 Yarumal Antio",https://lh4.googleusercontent.com/idWslBepSu8ofpuBFJecOBj3VIPLH1MKGEWsOuhloeBIWCBRySJhNynlpY6JA_Ju8EVS3D623uGiJ6xGCCyLyrnfIbwJ-81t_15PnhbFrp4A_UXDtdnRJTHzWKmB2f5b,527 EPMSC Yarumal,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh6.googleusercontent.com/HN29huSTGGSc7pvLcAkOvHwahM2I2Unowd0v_qMdBp4jY5Yu6xRlKPOtkumFbYnBvGN13CpMwHT7tS66Vsn6zYK4Nxa-0ZYFJ6gj-IstYBQZMit5SVVgTgBhU_fNj7X4EA"" height=""200"" width=""auto"" /><br><br>Direcci?n: kilometro 15 via apartado- care",https://lh6.googleusercontent.com/HN29huSTGGSc7pvLcAkOvHwahM2I2Unowd0v_qMdBp4jY5Yu6xRlKPOtkumFbYnBvGN13CpMwHT7tS66Vsn6zYK4Nxa-0ZYFJ6gj-IstYBQZMit5SVVgTgBhU_fNj7X4EA,531 EPMSC Apartado,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh4.googleusercontent.com/yosHqI6d0OSXUsrEJLDcPzNlH5uSsoLGSEUHD1sSjSu1i-zJq59pVrVf2FFR9jDSkQVw1SLt8DL2Hfl6bQlIrSfoEWOdqTZ0MM9Pw9HgxxPCkEFWWocKikVwdibB7ROR"" height=""200"" width=""auto"" /><br><br>Direcci?n: V?a Medell?n - Bogot? Km 115 (Hac",https://lh4.googleusercontent.com/yosHqI6d0OSXUsrEJLDcPzNlH5uSsoLGSEUHD1sSjSu1i-zJq59pVrVf2FFR9jDSkQVw1SLt8DL2Hfl6bQlIrSfoEWOdqTZ0MM9Pw9HgxxPCkEFWWocKikVwdibB7ROR https://lh3.googleusercontent.com/rkH60dyluznp_aYAjtl_TNLi7_F4g2V1_PcLqQtBQ0fFpR7f1jgNo6vaJ,535 EP Puerto Triunfo,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh4.googleusercontent.com/idgDniDkyOeGU-LYgoLTIfusgWct4KCYiKOhuwkxNdYXV7dhquAbjSIh4xfQD1E3nDXZ5p1SKbXKud3ooHPr3g3Aqm0RHJiHLysbUoX9bkL1ARDUVTL34T3tO1pBrkHC"" height=""200"" width=""auto"" /><br><br>Direcci?n: kilometro 6 antigua via al mar<br",https://lh4.googleusercontent.com/idgDniDkyOeGU-LYgoLTIfusgWct4KCYiKOhuwkxNdYXV7dhquAbjSIh4xfQD1E3nDXZ5p1SKbXKud3ooHPr3g3Aqm0RHJiHLysbUoX9bkL1ARDUVTL34T3tO1pBrkHC,537 COPED Pedregal,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
"<img src=""https://lh4.googleusercontent.com/BunmB8GoeDYItl6CdmTKe5G419xoj6CETscEx2BSXZzCYtg5_lqJ6u7--tMza1Rb_4UAh1vZ9TT3ntTFPeFk1tWMMHLBiQf36l9gU6hLJ4OQxpXdsorit3cRNNVxEsZe"" height=""200"" width=""auto"" /><br><br>Direcci?n: Carrera 5 # 6B - 124<br>Tel: (098",https://lh4.googleusercontent.com/BunmB8GoeDYItl6CdmTKe5G419xoj6CETscEx2BSXZzCYtg5_lqJ6u7--tMza1Rb_4UAh1vZ9TT3ntTFPeFk1tWMMHLBiQf36l9gU6hLJ4OQxpXdsorit3cRNNVxEsZe,633 EPMSC Puerto Boyaca,"05",ANTIOQUIA,63351855546.895,1963728.843,6335185.555
