Id,community,label
FABRICACION TRAFICO Y PORTE DE ARMAS DE FUEGO O MUNICIONES,2,FABRICACION TRAFICO Y PORTE DE ARMAS DE FUEGO O MUNICIONES
"FABRICACIÓN, POSESIÓN Y TRÁFICO ILEGAL DE ARMAS DE FUEGO, MUNICIONES Y EXPLOSIVOS.",2,"FABRICACIÓN, POSESIÓN Y TRÁFICO ILEGAL DE ARMAS DE FUEGO, MUNICIONES Y EXPLOSIVOS."
"FABRICACIÓN, TRÁFICO Y PORTE DE ARMAS, MUNICIONES DE USO RESTRINGIDO, DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS",4,"FABRICACIÓN, TRÁFICO Y PORTE DE ARMAS, MUNICIONES DE USO RESTRINGIDO, DE USO PRIVATIVO DE LAS FUERZAS ARMADAS O EXPLOSIVOS"
DAÑO EN OBRAS O ELEMENTOS DE LOS SERVICIOS DE COMUNICACIONES ENERGIA Y COMBUSTIBLES,4,DAÑO EN OBRAS O ELEMENTOS DE LOS SERVICIOS DE COMUNICACIONES ENERGIA Y COMBUSTIBLES
"FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO, ACCESORIOS, PARTES O MUNICIONES",2,"FABRICACIÓN, TRÁFICO, PORTE O TENENCIA DE ARMAS DE FUEGO, ACCESORIOS, PARTES O MUNICIONES"
FALSA DENUNCIA,3,FALSA DENUNCIA
FALSEDAD EN DOCUMENTO PRIVADO,3,FALSEDAD EN DOCUMENTO PRIVADO
CONTRABANDO,3,CONTRABANDO
FALSEDAD IDEOLOGICA EN DOCUMENTO PUBLICO,1,FALSEDAD IDEOLOGICA EN DOCUMENTO PUBLICO
EMPLEO ILEGAL DE LA FUERZA PUBLICA,1,EMPLEO ILEGAL DE LA FUERZA PUBLICA
FALSEDAD MARCARIA,3,FALSEDAD MARCARIA
FALSEDAD MATERIAL DE PARTICULAR EN DOCUMENTO PUBLICO,3,FALSEDAD MATERIAL DE PARTICULAR EN DOCUMENTO PUBLICO
FALSEDAD MATERIAL DE SERVIDOR PUBLICO EN DOCUMENTO PUBLICO,3,FALSEDAD MATERIAL DE SERVIDOR PUBLICO EN DOCUMENTO PUBLICO
FALSEDAD MATERIAL EN DOCUMENTO PUBLICO,3,FALSEDAD MATERIAL EN DOCUMENTO PUBLICO
ABANDONO DEL SERVICIO,3,ABANDONO DEL SERVICIO
EXPLOTACION DE MENORES DE EDAD,1,EXPLOTACION DE MENORES DE EDAD
FALSEDAD PERSONAL,3,FALSEDAD PERSONAL
FALSIFICACION DE EFECTO OFICIAL TIMBRADO,6,FALSIFICACION DE EFECTO OFICIAL TIMBRADO
FALSIFICACION DE MONEDA NACIONAL O EXTRANJERA,6,FALSIFICACION DE MONEDA NACIONAL O EXTRANJERA
FALSIFICACION O USO FRAUDULENTO DE SELLO OFICIAL,3,FALSIFICACION O USO FRAUDULENTO DE SELLO OFICIAL
